competition_track,canonical_position_code,discovery_slot,priority_block,owner,target_phase,candidate_name,nationality,active_from,active_to,source_primary,source_secondary,source_status,audit_status,fit_rationale,discovery_status,next_action,notes
feminino,centroavante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Christine Sinclair,Canada,2000,2025,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,regularidade goleadora e legado historico,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,centroavante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Vivianne Miedema,Netherlands,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"finalizacao, inteligencia e producao ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,centroavante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Mia Hamm,United States,1987,2004,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,referencia historica de elite e impacto mundial,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,centroavante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Ellen White,England,2005,2022,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,movimento de area e producao internacional,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,centroavante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Catarina Macario,United States,2019,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"tecnica, mobilidade e teto competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,goleiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Nadine Angerer,Germany,1995,2015,https://www.fifa.com/en/archive,https://www.uefa.com/womenseuro/,identified_public_sources,external_audit_passed,lideranca historica e desempenho em torneios grandes,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,goleiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Briana Scurry,United States,1994,2008,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,impacto internacional e legado competitivo,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,goleiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Hedvig Lindahl,Sweden,2002,2023,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,longevidade e regularidade em alto nivel,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,goleiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Sarah Bouhaddi,France,2004,2022,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"titulos, constancia e perfil de elite europeia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,goleiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Sandra Panos,Spain,2010,2024,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,jogo com os pes e consistencia tecnica,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_direito,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Kelley O'Hara,United States,2010,2024,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"competitividade, experiencia e impacto internacional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_direito,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Lucy Bronze,England,2009,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,dominancia fisica e influencia ofensiva pelo corredor,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_direito,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Emily Fox,United States,2018,2026,https://www.concacaf.com/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"velocidade, duelo e proje??o competitiva alta",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_direito,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Mariona Caldentey,Spain,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,versatilidade e jogo interior a partir do corredor,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_direito,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Noelle Maritz,Switzerland,2011,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"regularidade, disciplina e consistencia t?tica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_esquerdo,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Sakina Karchaoui,France,2012,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"aceleracao, drible e progressao pelo lado esquerdo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_esquerdo,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Stephanie Catley,Australia,2009,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"equilibrio, bola parada e consistencia internacional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_esquerdo,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Selma Bacha,France,2017,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"profundidade, cruzamento e impacto ofensivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_esquerdo,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Crystal Dunn,United States,2012,2026,https://www.concacaf.com/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"versatilidade, intensidade e leitura competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,lateral_esquerdo,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Niamh Charles,England,2016,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"associacao, mobilidade e cobertura funcional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_central,1,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Aitana Bonmati,Spain,2016,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"controle, progressao e impacto competitivo global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_central,2,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Lindsey Horan,United States,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"lideranca, chegada e presenca no meio",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_central,3,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Rose Lavelle,United States,2017,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"conducao, desequilibrio e criacao interior",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_central,4,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Sjoeke Nusken,Germany,2019,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"caixa a caixa, fisico e capacidade de chegada",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_central,5,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Patricia Guijarro,Spain,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"organizacao, apoio e equilibrio competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_ofensivo,1,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Marta,Brazil,2000,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"criacao, legado global e impacto decisivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_ofensivo,2,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Kim Little,Scotland,2005,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"tecnica, controle e lideranca criativa",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_ofensivo,3,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Ji So-yun,South Korea,2006,2025,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"passe, visao e consistencia no ultimo terco",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_ofensivo,4,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Ella Toone,England,2018,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,criacao vertical e chegada ofensiva,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,meia_ofensivo,5,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Kosovare Asllani,Sweden,2008,2025,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"ultimo passe, repertorio tecnico e experiencia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,1,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Caroline Graham Hansen,Norway,2010,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"drible, cria??o e elite mundial pelo lado direito",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,2,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Beth Mead,England,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cruzamento, finalizacao e impacto recente em alto nivel",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,3,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Lauren Hemp,England,2017,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"velocidade, ruptura e volume ofensivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Delphine Cascarino,France,2009,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"aceleracao, um contra um e profundidade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_direita,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Chloe Kelly,England,2015,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"explosao, agressividade e chegada no ultimo terco",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,1,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Megan Rapinoe,United States,2006,2023,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"cria??o, bola parada e legado competitivo global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,2,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Lieke Martens,Netherlands,2009,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"drible, desequilibrio e repertorio ofensivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,3,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Pernille Harder,Denmark,2008,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"mobilidade, cria??o e produ??o ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Guro Reiten,Norway,2010,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cruzamento, jogo associativo e consistencia t?tica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,ponta_esquerda,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Mallory Swanson,United States,2013,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"velocidade, ataque ao espa?o e teto competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,1,phase_2_support_positions,Diego Torres,anchor_to_top10,Sophia Smith,United States,2020,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"ruptura, agressividade e impacto em transicao",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,2,phase_2_support_positions,Diego Torres,anchor_to_top10,Lauren James,England,2021,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,talento criativo e desequilibrio perto da area,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,3,phase_2_support_positions,Diego Torres,anchor_to_top10,Fran Kirby,England,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"associacao, mobilidade e ultimo passe",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,4,phase_2_support_positions,Diego Torres,anchor_to_top10,Asisat Oshoala,Nigeria,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"profundidade, ataque ao espaco e finalizacao",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,segundo_atacante,5,phase_2_support_positions,Diego Torres,anchor_to_top10,Salma Paralluelo,Spain,2021,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"explosao, teto alto e amplitude ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Amandine Henry,France,2007,2025,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"controle, experiencia e competitividade de elite",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Grace Geyoro,France,2012,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"intensidade, equilibrio e chegada",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Yui Hasegawa,Japan,2013,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"controle, mobilidade e inteligencia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Lia Walti,Switzerland,2007,2026,https://www.fifa.com/en/archive,https://www.uefa.com/womenschampionsleague/,identified_public_sources,external_audit_passed,"posicionamento, passe e jogo limpo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,volante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Georgia Stanway,England,2015,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"dinamismo, intensidade e versatilidade central",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Irene Paredes,Spain,2008,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"lideranca, bola aerea e alto nivel europeu",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Becky Sauerbrunn,United States,2005,2025,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,lideranca defensiva e consistencia internacional,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Millie Bright,England,2014,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"duelo, imposicao fisica e regularidade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Kadeisha Buchanan,Canada,2013,2026,https://www.uefa.com/womenschampionsleague/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cobertura, velocidade e experiencia europeia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
feminino,zagueiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Rafaelle,Brazil,2012,2026,https://www.fifa.com/en/archive,https://www.concacaf.com/,identified_public_sources,external_audit_passed,"lideranca, leitura e impacto internacional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
