competition_track,canonical_position_code,discovery_slot,priority_block,owner,target_phase,candidate_name,nationality,active_from,active_to,source_primary,source_secondary,source_status,audit_status,fit_rationale,discovery_status,next_action,notes
masculino,centroavante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Ronaldo Nazario,Brazil,1993,2011,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"explosao, finalizacao e referencia historica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Thierry Henry,France,1994,2014,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"mobilidade, profundidade e decisao ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Robert Lewandowski,Poland,2008,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,regularidade goleadora e inteligencia de area,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Karim Benzema,France,2004,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"associacao, finalizacao e impacto em jogos grandes",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,centroavante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Luis Suarez,Uruguay,2005,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"agressividade ofensiva, repertorio e competitividade",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Thibaut Courtois,Belgium,2009,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,identified_public_sources,external_audit_passed,goleiro de elite em jogos grandes e consistencia moderna,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Edwin van der Sar,Netherlands,1990,2011,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"longevidade, seguranca de area e regularidade competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Petr Cech,Czech Republic,1999,2019,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"reflexo, consistencia e alto nivel competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Dida,Brazil,1992,2015,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,impacto internacional e historico de titulos,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,goleiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Peter Schmeichel,Denmark,1981,2003,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"lideranca, presenca de area e legado historico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Trent Alexander-Arnold,England,2016,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"passe, criacao e impacto moderno pelo corredor",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Gary Neville,England,1992,2011,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"regularidade, disciplina e longevidade competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Joao Cancelo,Portugal,2012,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"versatilidade, associacao e leitura por dentro",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Kyle Walker,England,2008,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"velocidade, cobertura e impacto defensivo em campo aberto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_direito,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Achraf Hakimi,Morocco,2016,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"profundidade, explosao e producao ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,1,phase_2_support_positions,Helena Martins,anchor_to_top10,Patrice Evra,France,1998,2018,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"regularidade, experiencia e perfil competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,2,phase_2_support_positions,Helena Martins,anchor_to_top10,Marcelo,Brazil,2005,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"criatividade, tecnica e impacto ofensivo historico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,3,phase_2_support_positions,Helena Martins,anchor_to_top10,Andrew Robertson,Scotland,2013,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"intensidade, cruzamento e repeticao de alta entrega",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,4,phase_2_support_positions,Helena Martins,anchor_to_top10,Theo Hernandez,France,2015,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"potencia, progressao e agressividade ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,lateral_esquerdo,5,phase_2_support_positions,Helena Martins,anchor_to_top10,Bixente Lizarazu,France,1988,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"equilibrio defensivo, leitura e consistencia em alto nivel",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,1,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Toni Kroos,Germany,2007,2024,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"controle, passe e dominio de ritmo competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,2,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Clarence Seedorf,Netherlands,1992,2014,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"forca, tecnica e longevidade em elite europeia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,3,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Steven Gerrard,England,1998,2016,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"lideranca, chegada e impacto em jogos grandes",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,4,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Frank Lampard,England,1995,2017,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"producao ofensiva, chegada na area e constancia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_central,5,phase_2_support_positions,Lara Nascimento,anchor_to_top10,Paul Scholes,England,1993,2013,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"passe, controle e leitura refinada do jogo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_ofensivo,1,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Zinedine Zidane,France,1989,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"criacao historica, jogos grandes e repertorio tecnico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_ofensivo,2,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Kevin De Bruyne,Belgium,2008,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"passe de ruptura, volume criativo e impacto recente",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_ofensivo,3,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Kaka,Brazil,2001,2017,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"conducao, aceleracao e decisao no ultimo terco",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_ofensivo,4,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Ronaldinho,Brazil,1998,2018,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"talento criativo, improviso e influencia global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,meia_ofensivo,5,phase_1_core_positions,Lara Nascimento,anchor_to_top10,Mesut Ozil,Germany,2006,2023,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"ultimo passe, associacao e leitura criativa",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_direita,1,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Arjen Robben,Netherlands,2000,2019,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"corte para dentro, decisao e impacto historico pelo lado direito",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_direita,2,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Mohamed Salah,Egypt,2010,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"profundidade, finalizacao e producao ofensiva sustentada",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_direita,3,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Luis Figo,Portugal,1989,2009,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"criacao, drible e protagonismo por fora",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_direita,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,David Beckham,England,1992,2013,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cruzamento, bola parada e impacto competitivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_direita,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Riyad Mahrez,Algeria,2009,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"controle curto, ultimo passe e refino tecnico",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_esquerda,1,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Cristiano Ronaldo,Portugal,2002,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"explosao, finalizacao e referencia historica global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_esquerda,2,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Neymar,Brazil,2009,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"drible, criacao e desequilibrio pelo lado esquerdo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_esquerda,3,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Sadio Mane,Senegal,2011,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"aceleracao, ruptura e agressividade ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_esquerda,4,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Franck Ribery,France,2000,2022,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"combina??o, condu??o e impacto competitivo alto",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,ponta_esquerda,5,phase_3_wide_profiles,Lara Nascimento,anchor_to_top10,Ryan Giggs,Wales,1990,2014,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"longevidade, amplitude e constancia historica",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,segundo_atacante,1,phase_2_support_positions,Diego Torres,anchor_to_top10,Lionel Messi,Argentina,2003,2026,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"criacao, finalizacao e impacto historico global",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,segundo_atacante,2,phase_2_support_positions,Diego Torres,anchor_to_top10,Antoine Griezmann,France,2009,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"mobilidade, associacao e inteligencia ofensiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,segundo_atacante,3,phase_2_support_positions,Diego Torres,anchor_to_top10,Wayne Rooney,England,2002,2021,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"intensidade, versatilidade e producao decisiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,segundo_atacante,4,phase_2_support_positions,Diego Torres,anchor_to_top10,Dennis Bergkamp,Netherlands,1986,2006,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"refino tecnico, ultimo passe e leitura criativa",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,segundo_atacante,5,phase_2_support_positions,Diego Torres,anchor_to_top10,Paulo Dybala,Argentina,2011,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"tecnica, associacao e finalizacao de media distancia",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,volante,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Rodri,Spain,2015,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"controle, posicao e impacto competitivo recente",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,volante,2,phase_1_core_positions,Diego Torres,anchor_to_top10,N'Golo Kante,France,2012,2026,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"cobertura, intensidade e equilibrio defensivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,volante,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Xabi Alonso,Spain,1999,2017,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"organizacao, passe e comando do ritmo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,volante,4,phase_1_core_positions,Diego Torres,anchor_to_top10,Fernando Redondo,Argentina,1985,2004,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"classe, conducao e controle do meio",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,volante,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Roy Keane,Ireland,1990,2006,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"lideranca, agressividade e competitividade central",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,zagueiro,1,phase_1_core_positions,Diego Torres,anchor_to_top10,Carles Puyol,Spain,1995,2014,https://www.fifa.com/en/archive,https://www.uefa.com/uefachampionsleague/history/,identified_public_sources,external_audit_passed,"lideranca, duelo e leitura competitiva",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,zagueiro,2,phase_1_core_positions,Diego Torres,anchor_to_top10,Rio Ferdinand,England,1996,2015,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"saida limpa, cobertura e alto nivel sustentado",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,zagueiro,3,phase_1_core_positions,Diego Torres,anchor_to_top10,Gerard Pique,Spain,2004,2022,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,"construcao, leitura e dominio posicional",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,zagueiro,4,phase_1_core_positions,Diego Torres,anchor_to_top10,John Terry,England,1998,2018,https://www.uefa.com/uefachampionsleague/history/,https://www.fifa.com/en/archive,identified_public_sources,external_audit_passed,lideranca defensiva e constancia em alto nivel,approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
masculino,zagueiro,5,phase_1_core_positions,Diego Torres,anchor_to_top10,Nemanja Vidic,Serbia,2000,2016,https://www.uefa.com/uefachampionsleague/history/,https://www.transfermarkt.com/,identified_public_sources,external_audit_passed,"agressividade, duelo e protagonismo defensivo",approved_for_top10_audited,promovido para shortlist top 10 auditado,candidato aprovado para entrada no top 10 auditado
