athlete_name,competition_track,canonical_position_code,position_family,nationality,active_from,active_to,primary_source_url,secondary_source_url,source_confidence,performance_official,position_excellence,competitive_peak,longevity,international_continental_impact,scout_awards_consensus,hub_elite_score,speed,technique,game_iq,physical,style_tags,profile_headline,development_note,review_status,notes
Thierry Henry,masculino,centroavante,atacante,France,1994,2014,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,96,88,91,94,94,94,91,88,82,velocidade|diagonal|finalizacao,atacante veloz tecnico e decisivo atacando espaco,Trabalhar diagonal finalizacao e conducao em velocidade,seed_beta,seed inicial pendente de auditoria completa
Robert Lewandowski,masculino,centroavante,atacante,Poland,2006,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.86,96,96,96,91,92,95,96,78,89,92,90,area|finalizacao|posicionamento,centroavante de area elite com tecnica e consistencia,Trabalhar posicionamento finalizacao de primeira e jogo de costas,seed_beta,seed inicial pendente de auditoria completa
Karim Benzema,masculino,centroavante,atacante,France,2004,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.fifa.com/en/archive,0.86,94,95,95,89,94,93,94,80,91,92,82,associacao|finalizacao|inteligencia,centroavante associativo inteligente e decisivo,Trabalhar apoio passe final e ataque a area,seed_beta,seed inicial pendente de auditoria completa
Erling Haaland,masculino,centroavante,atacante,Norway,2016,2026,https://www.uefa.com/uefachampionsleague/history/rankings/players/matches_played/,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop,0.80,92,93,93,74,86,89,91,89,82,84,96,potencia|profundidade|finalizacao,centroavante potente vertical e letal em finalizacao,Trabalhar apoio associativo primeiro toque e variacao de finalizacao,seed_beta,seed inicial pendente de auditoria completa
Hope Solo,feminino,goleiro,goleiro,United States,2000,2016,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.82,90,95,93,86,94,92,92,62,80,90,84,explosao|seguranca|comando de area,goleira explosiva segura e dominante em jogos grandes,Trabalhar posicionamento tempo de bola e comando de area.,seed_beta,seed feminina inicial pendente de auditoria completa
Christiane Endler,feminino,goleiro,goleiro,Chile,2009,2026,https://www.uefa.com/,https://www.transfermarkt.com/,0.80,89,93,92,84,88,90,90,64,79,89,85,reflexo|lideranca|alcance,goleira de reflexo forte e grande presenca defensiva,Trabalhar reposicao leitura de cruzamento e controle de area.,seed_beta,seed feminina inicial pendente de auditoria completa
Lucy Bronze,feminino,lateral_direito,lateral,England,2007,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,92,96,94,89,93,95,94,88,83,85,87,forca|profundidade|duelo,lateral poderosa intensa e dominante no corredor,Trabalhar amplitude cruzamento e repeticao em alta intensidade.,seed_beta,seed feminina inicial pendente de auditoria completa
Ellie Carpenter,feminino,lateral_direito,lateral,Australia,2017,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,84,88,86,74,82,80,84,90,78,79,84,velocidade|profundidade|resistencia,lateral de alta velocidade e profundidade constante,Trabalhar cruzamento decisao no ultimo terco e recomposicao.,seed_beta,seed feminina inicial pendente de auditoria completa
Selma Bacha,feminino,lateral_esquerdo,lateral,France,2017,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.76,85,89,87,73,81,81,84,87,82,80,79,profundidade|cruzamento|agressividade,lateral agressiva e muito forte no apoio ofensivo,Trabalhar cruzamento controle da corrida e recomposicao.,seed_beta,seed feminina inicial pendente de auditoria completa
Sakina Karchaoui,feminino,lateral_esquerdo,lateral,France,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,90,88,80,84,83,86,88,84,82,76,conducao|drible|apoio,lateral tecnica e agressiva na conducao pelo lado,Trabalhar escolhas no ultimo passe e recomposicao defensiva.,seed_beta,seed feminina inicial pendente de auditoria completa
Wendie Renard,feminino,zagueiro,zagueiro,France,2006,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,92,97,95,91,92,95,95,73,79,92,94,jogo aereo|lideranca|comando defensivo,zagueira dominante no jogo aereo e na lideranca defensiva,Trabalhar leitura de linha imposicao fisica e organizacao da defesa.,seed_beta,seed feminina inicial pendente de auditoria completa
Irene Paredes,feminino,zagueiro,zagueiro,Spain,2010,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,92,90,84,87,86,89,70,80,91,88,posicionamento|comando|jogo aereo,zagueira de boa leitura e controle da linha defensiva,Trabalhar orientacao corporal saida limpa e bola aerea.,seed_beta,seed feminina inicial pendente de auditoria completa
Keira Walsh,feminino,volante,volante,England,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,92,90,80,89,87,89,72,87,94,78,controle|passe|leitura,volante cerebral de controle e grande seguranca no passe,Trabalhar orientacao corporal passe vertical e cobertura.,seed_beta,seed feminina inicial pendente de auditoria completa
Saki Kumagai,feminino,volante,volante,Japan,2005,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,90,88,89,90,85,88,70,83,92,80,disciplina|leitura|equilibrio,volante disciplinada e muito forte na leitura do jogo,Trabalhar cobertura passe simples e controle de ritmo.,seed_beta,seed feminina inicial pendente de auditoria completa
Aitana Bonmati,feminino,meia_central,meia,Spain,2016,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.88,94,97,96,82,94,98,96,80,94,96,74,associacao|controle|jogo entre linhas,meia refinada de controle associacao e decisao elite,Trabalhar leitura entre linhas apoio curto e continuidade tecnica.,seed_beta,seed feminina inicial pendente de auditoria completa
Kim Little,feminino,meia_central,meia,Scotland,2006,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,87,91,89,88,80,85,88,76,90,92,72,controle|conducao|assistencia,meia tecnica de grande consistencia e controle de posse,Trabalhar leitura de ritmo passe vertical e apoio entre linhas.,seed_beta,seed feminina inicial pendente de auditoria completa
Alexia Putellas,feminino,meia_ofensivo,meia,Spain,2010,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.88,95,97,97,84,92,98,96,78,95,96,75,ultimo passe|controle|finalizacao,meia ofensiva de alta decisao tecnica e impacto ofensivo,Trabalhar passe final chegada na area e controle de ritmo ofensivo.,seed_beta,seed feminina inicial pendente de auditoria completa
Dzsenifer Marozsan,feminino,meia_ofensivo,meia,Germany,2007,2025,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,90,94,92,85,89,90,91,74,94,94,70,criacao|bola parada|ultimo passe,meia ofensiva criativa e refinada no passe final,Trabalhar pausa ultimo passe e finalizacao de media distancia.,seed_beta,seed feminina inicial pendente de auditoria completa
Delphine Cascarino,feminino,ponta_direita,ponta,France,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,89,88,77,84,82,86,92,84,80,74,arrancada|drible|profundidade,ponta de velocidade alta e grande agressividade no um contra um,Trabalhar escolha da jogada finalizacao e repeticao de acelera??es.,seed_beta,seed feminina inicial pendente de auditoria completa
Trinity Rodman,feminino,ponta_direita,ponta,United States,2021,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.74,83,87,86,68,80,81,84,91,82,79,82,forca|profundidade|agressividade,ponta forte veloz e muito agressiva em profundidade,Trabalhar decisao finalizacao e ataque ao espaco com constancia.,seed_beta,seed feminina inicial pendente de auditoria completa
Megan Rapinoe,feminino,ponta_esquerda,ponta,United States,2006,2023,https://www.fifa.com/en/archive,https://www.uefa.com/,0.82,89,92,91,86,95,94,91,78,92,93,70,criacao|bola parada|ultimo passe,ponta criativa decisiva e muito forte em assistencia e bola parada,Trabalhar ultimo passe tomada de decisao e cruzamento ofensivo.,seed_beta,seed feminina inicial pendente de auditoria completa
Lauren Hemp,feminino,ponta_esquerda,ponta,England,2017,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,85,88,87,74,83,81,85,90,84,81,73,velocidade|arrancada|cruzamento,ponta muito veloz e perigosa no ataque ao espaco,Trabalhar cruzamento objetividade e escolha no um contra um.,seed_beta,seed feminina inicial pendente de auditoria completa
Vivianne Miedema,feminino,segundo_atacante,atacante,Netherlands,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.84,92,94,93,83,90,91,92,79,91,94,78,assistencia|finalizacao|entre linhas,atacante associativa de alto nivel tecnico e decisao ofensiva,Trabalhar apoio entre linhas finalizacao e leitura de espacos.,seed_beta,seed feminina inicial pendente de auditoria completa
Kosovare Asllani,feminino,segundo_atacante,atacante,Sweden,2008,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,86,89,88,84,88,84,87,76,89,91,72,criacao|assistencia|mobilidade,segunda atacante tecnica e muito forte entre linhas,Trabalhar passe final movimento sem bola e finalizacao curta.,seed_beta,seed feminina inicial pendente de auditoria completa
Sam Kerr,feminino,centroavante,atacante,Australia,2008,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,94,95,94,87,91,94,94,87,86,86,84,profundidade|finalizacao|ataque ao espaco,centroavante agressiva potente e muito forte no ataque a area,Trabalhar ruptura finalizacao rapida e movimentacao de ultima linha.,seed_beta,seed feminina inicial pendente de auditoria completa
Ada Hegerberg,feminino,centroavante,atacante,Norway,2010,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.84,93,95,95,82,89,95,93,80,88,89,86,area|jogo aereo|finalizacao,centroavante de area muito forte na finalizacao e no jogo aereo,Trabalhar posicionamento ataque a cruzamentos e finalizacao de primeira.,seed_beta,seed feminina inicial pendente de auditoria completa
Mary Earps,feminino,goleiro,goleiro,England,2011,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.84,90,94,94,82,92,95,92,63,80,91,83,seguranca|lideranca|reflexo,goleira segura e lider com alto nivel de decisao em jogos grandes,Trabalhar reposicao comando de area e controle de profundidade.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Alyssa Naeher,feminino,goleiro,goleiro,United States,2009,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.80,88,91,90,84,92,88,89,61,78,89,82,frieza|reflexo|consistencia,goleira de grande reflexo e alta consistencia competitiva,Trabalhar leitura de area reposicao e timing de queda.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Ann-Katrin Berger,feminino,goleiro,goleiro,Germany,2011,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.76,86,89,88,80,84,83,86,62,77,87,82,explosao|seguranca|elasticidade,goleira elastica e explosiva com boa presenca defensiva,Trabalhar controle de area reposicao e consistencia de decisao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Ona Batlle,feminino,lateral_direito,lateral,Spain,2018,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.82,88,91,90,74,86,87,88,86,85,87,78,associacao|apoio|controle,lateral tecnica de apoio constante e boa leitura por dentro,Trabalhar cruzamento apoio interior e recomposicao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Emily Fox,feminino,lateral_direito,lateral,United States,2018,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.74,84,87,85,70,81,79,83,88,79,81,81,velocidade|recuperacao|agressividade,lateral veloz agressiva e forte na recuperacao de espaco,Trabalhar cruzamento tomada de decisao e apoio em velocidade.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Giulia Gwinn,feminino,lateral_direito,lateral,Germany,2017,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.76,85,88,87,73,82,81,84,85,81,82,79,profundidade|bola parada|apoio,lateral profunda e participativa com boa chegada ofensiva,Trabalhar ultimo passe cruzamento e controle defensivo.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Fridolina Rolfo,feminino,lateral_esquerdo,lateral,Sweden,2011,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,87,89,88,82,88,84,87,86,84,83,82,forca|profundidade|versatilidade,lateral forte e versatil com grande impacto no corredor,Trabalhar cruzamento controle de transicao e repeticao de apoio.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Katie McCabe,feminino,lateral_esquerdo,lateral,Ireland,2014,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.76,85,88,86,78,79,80,84,83,84,82,80,competitividade|cruzamento|bola parada,lateral intensa competitiva e muito forte no cruzamento,Trabalhar amplitude cruzamento e recomposicao defensiva.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Niamh Charles,feminino,lateral_esquerdo,lateral,England,2016,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.72,82,86,84,72,78,77,82,84,80,80,77,apoio|movimento|resistencia,lateral de apoio constante com boa leitura de corredor,Trabalhar cruzamento orientacao corporal e continuidade defensiva.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Millie Bright,feminino,zagueiro,zagueiro,England,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,91,89,80,86,85,88,69,77,90,91,forca|jogo aereo|lideranca,zagueira forte dominante no duelo e segura na area,Trabalhar linha defensiva cobertura e controle de profundidade.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Leah Williamson,feminino,zagueiro,zagueiro,England,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,87,90,88,78,88,86,87,72,82,91,82,saida limpa|lideranca|leitura,zagueira de boa saida e lideranca organizada da linha,Trabalhar orientacao corporal coberturas e passe vertical.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Mapi Leon,feminino,zagueiro,zagueiro,Spain,2010,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.78,87,91,89,79,84,84,87,71,84,92,80,saida limpa|bola longa|antecipacao,zagueira tecnica de boa antecipacao e construcao de jogo,Trabalhar saida sob pressao cobertura e duelo aereo.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Patri Guijarro,feminino,volante,volante,Spain,2015,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.80,88,92,90,76,85,86,88,73,88,94,78,controle|passe|leitura,volante de grande leitura e controle de jogo com bola,Trabalhar cobertura orientacao corporal e passe de progressao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Yui Hasegawa,feminino,volante,volante,Japan,2013,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,85,89,87,79,84,82,85,74,87,92,72,mobilidade|controle|passe,volante movel de bom controle e alto entendimento tatico,Trabalhar cobertura leitura de segunda bola e passe de ruptura.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Lena Oberdorf,feminino,volante,volante,Germany,2019,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,86,90,88,68,84,85,86,76,82,90,88,duelo|cobertura|agressividade,volante intensa agressiva e muito forte na protecao defensiva,Trabalhar tempo de combate passe seguro e controle emocional.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Lindsey Horan,feminino,meia_central,meia,United States,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.80,88,90,89,80,90,86,88,75,87,91,84,caixa a caixa|chegada|lideranca,meia central completa de impacto fisico e boa chegada ofensiva,Trabalhar controle de ritmo passe vertical e chegada na area.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Grace Geyoro,feminino,meia_central,meia,France,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,85,88,86,78,83,80,84,77,84,88,80,dinamismo|chegada|controle,meia dinamica de boa chegada e leitura de apoio,Trabalhar apoio entre linhas controle e progressao com bola.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Rose Lavelle,feminino,meia_central,meia,United States,2017,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.74,84,87,86,70,85,82,84,80,89,88,70,drible curto|mobilidade|criacao,meia movel e criativa com conducoes desequilibrantes,Trabalhar continuidade fisica passe final e tomada de decisao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Jill Roord,feminino,meia_ofensivo,meia,Netherlands,2013,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,86,89,87,79,84,80,85,77,86,89,76,chegada|finalizacao|meio espaco,meia ofensiva de chegada forte e boa leitura de area,Trabalhar ultimo passe ocupacao de entrelinha e finalizacao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Pernille Harder,feminino,meia_ofensivo,meia,Denmark,2007,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.82,90,92,91,84,88,90,90,80,90,92,78,criacao|mobilidade|finalizacao,meia ofensiva mobilidade alta e forte impacto em gols e criacao,Trabalhar ultima decisao ocupacao de area e passe curto.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Claudia Pina,feminino,meia_ofensivo,meia,Spain,2018,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.72,82,86,84,68,78,77,82,78,88,87,68,criacao|chute medio|entre linhas,meia ofensiva tecnica e criativa entre linhas,Trabalhar pausa ultimo passe e consistencia de decisao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Caroline Graham Hansen,feminino,ponta_direita,ponta,Norway,2011,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.86,92,95,94,84,89,95,94,88,94,92,76,drible|criacao|ultimo passe,ponta de tecnica elite e grande desequilibrio no um contra um,Trabalhar objetividade finalizacao e ocupacao de area apos drible.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Beth Mead,feminino,ponta_direita,ponta,England,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.78,87,89,89,77,88,86,87,84,88,89,72,cruzamento|decisao|assistencia,ponta de decisao forte e boa producao em assistencia,Trabalhar ataque ao espaco finalizacao e variacao de jogo.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Kadidiatou Diani,feminino,ponta_direita,ponta,France,2012,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.76,86,88,87,79,84,82,85,90,84,82,80,velocidade|profundidade|ruptura,ponta muito vertical e forte no ataque ao espaco,Trabalhar tomada de decisao cruzamento e finalizacao apos ruptura.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Guro Reiten,feminino,ponta_esquerda,ponta,Norway,2014,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.74,84,87,85,76,80,78,83,82,87,86,70,assistencia|controle|ultimo passe,ponta tecnica associativa e muito forte no ultimo passe,Trabalhar agressividade em diagonal e finalizacao apos apoio.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Salma Paralluelo,feminino,ponta_esquerda,ponta,Spain,2021,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.74,83,87,86,66,81,80,83,92,84,81,78,arrancada|profundidade|finalizacao,ponta explosiva de grande ruptura e poder de finalizacao,Trabalhar escolha da jogada ultimo toque e constancia ofensiva.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Mallory Swanson,feminino,ponta_esquerda,ponta,United States,2015,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.74,84,87,86,74,82,79,83,90,83,82,76,velocidade|ataque ao espaco|objetividade,ponta vertical de muito ataque ao espaco e objetividade,Trabalhar timing de ruptura finalizacao e passe curto.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Sophia Smith,feminino,segundo_atacante,atacante,United States,2020,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.78,87,89,88,67,83,85,86,91,86,84,79,ruptura|drible|objetividade,segunda atacante veloz agressiva e muito forte em ruptura,Trabalhar apoio curto ultima decisao e finalizacao em movimento.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Lineth Beerensteyn,feminino,segundo_atacante,atacante,Netherlands,2014,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.72,82,85,84,76,80,76,81,90,80,79,77,velocidade|profundidade|ataque a area,atacante de mobilidade alta e muita agressividade em profundidade,Trabalhar ultimo passe finalizacao e apoio entre linhas.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Ewa Pajor,feminino,segundo_atacante,atacante,Poland,2012,2026,https://www.uefa.com/,https://www.fifa.com/en/archive,0.78,89,90,89,82,81,84,87,84,85,84,78,mobilidade|finalizacao|ataque ao espaco,atacante movel com boa finalizacao e leitura de ruptura,Trabalhar apoio entre linhas repeticao de movimentos e definicao.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Alex Morgan,feminino,centroavante,atacante,United States,2010,2025,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.82,90,92,91,84,94,90,90,84,84,87,80,area|profundidade|finalizacao,centroavante de ruptura e grande presenca ofensiva na area,Trabalhar sincronizacao de ruptura ataque a cruzamentos e finalizacao de primeira.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Barbra Banda,feminino,centroavante,atacante,Zambia,2018,2026,https://www.fifa.com/en/archive,https://www.transfermarkt.com/,0.72,84,87,86,68,82,80,84,90,80,80,86,potencia|profundidade|agressividade,centroavante potente vertical e muito forte em transicao,Trabalhar apoio simples definicao e leitura da ultima linha.,seed_beta,seed feminina fase 2 pendente de auditoria completa
Alessia Russo,feminino,centroavante,atacante,England,2017,2026,https://www.fifa.com/en/archive,https://www.uefa.com/,0.74,84,86,85,70,82,79,83,81,84,83,82,apoio|area|finalizacao,centroavante de apoio e boa ocupacao de area para finalizar,Trabalhar jogo de costas ataque a cruzamentos e definicao curta.,seed_beta,seed feminina fase 2 pendente de auditoria completa
